Stoppested;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt
Kimbrerfesten;17:30;18:30;19:30;23:30;00:30;01:30;02:30
Aars Rutebilstation;17:32;18:32;19:32;23:32;00:32;01:32;02:32
Assersvej;17:34;18:34;19:34;23:34;00:34;01:34;02:34
Park Allé;17:36;18:36;19:36;23:36;00:36;01:36;02:36
Peder Stubsvej;17:38;18:38;19:38;23:38;00:38;01:38;02:38
Brorsonsvej;17:40;18:40;19:40;23:40;00:40;01:40;02:40
Assersvej;17:42;18:42;19:42;23:42;00:42;01:42;02:42
Agertoften;17:44;18:44;19:44;23:44;00:44;01:44;02:44
Toftehaven;17:45;18:45;19:45;23:45;00:45;01:45;02:45
Gl. Gislumvej;17:47;18:47;19:47;23:47;00:47;01:47;02:47
Stenildvadparken;17:49;18:49;19:49;23:49;00:49;01:49;02:49
Stenildhøjvej;17:51;18:51;19:51;23:51;00:51;01:51;02:51
Kimbrerfesten;17:55;18:55;19:55;23:55;00:55;01:55;02:55
