Stoppested;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt
Kimbrerfesten;18:30;19:30;23:30;00:30
Aars Rutebilstation;18:32;19:32;23:32;00:32
Assersvej;18:34;19:34;23:34;00:34
Park Allé;18:36;19:36;23:36;00:36
Peder Stubsvej;18:38;19:38;23:38;00:38
Brorsonsvej;18:40;19:40;23:40;00:40
Assersvej;18:42;19:42;23:42;00:42
Agertoften;18:44;19:44;23:44;00:44
Toftehaven;18:45;19:45;23:45;00:45
Gl. Gislumvej;18:47;19:47;23:47;00:47
Stenildvadparken;18:49;19:49;23:49;00:49
Stenildhøjvej;18:51;19:51;23:51;00:51
Kimbrerfesten;18:55;19:55;23:55;00:55
