Stoppested;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt
Kimbrerfesten;18:00;19:00;23:00;00:00
Crazy Daisy;18:02;19:02;23:02;00:02
Foto-lab;18:05;19:05;23:05;00:05
Aars Svømmehal;18:07;19:07;23:07;00:07
Ingemannsvej;18:10;19:10;23:10;00:10
Hans Egedes Vej;18:12;19:12;23:12;00:12
Tvebjergvej;18:14;19:14;23:14;00:14
Hobrovej;18:17;19:17;23:17;00:17
Erhvervsskolerne;18:18;19:19;23:23;00:24
Kong Knuds Vej;18:20;19:20;23:20;00:20
Dronning Alexandrines Vej;18:22;19:22;23:22;00:22
Mejsevej;18:23;19:23;23:23;00:23
Musvitvej;18:24;19:24;23:23;00:24
Kimbrerfesten;18:26;19:26;23:26;00:26
